Track_ID | 등번호 | 유니폼 | 첫등장프레임
------------------------------------------------------------
5 | 7 | HOME | frame_0069
30 | 28 | HOME | frame_0143
38 | 8 | HOME | frame_0146
69 | 29 | AWAY | frame_0155
130 | 5 | AWAY | frame_0172
168 | 27 | AWAY | frame_0181
181 | 41 | HOME | frame_0184
201 | 19 | HOME | frame_0188
227 | 14 | HOME | frame_0192
264 | 68 | AWAY | frame_0201
268 | 11 | HOME | frame_0202
285 | 71 | AWAY | frame_0206
288 | 27 | HOME | frame_0208
304 | 51 | AWAY | frame_0215
309 | 08 | HOME | frame_0219
317 | 25 | AWAY | frame_0239
320 | 22 | AWAY | frame_0244
356 | 2 | AWAY | frame_0306
357 | 18 | AWAY | frame_0306
359 | 47 | AWAY | frame_0306
369 | 88 | AWAY | frame_0308
370 | 92 | AWAY | frame_0308
372 | 23 | HOME | frame_0308
374 | 10 | AWAY | frame_0309
404 | 9 | AWAY | frame_0318
405 | 5 | AWAY | frame_0318
451 | 16 | AWAY | frame_0332
456 | 2 | HOME | frame_0335
459 | 08 | HOME | frame_0337
460 | 22 | HOME | frame_0339
461 | 14 | HOME | frame_0339
466 | 08 | AWAY | frame_0343
467 | 10 | AWAY | frame_0345
472 | 08 | AWAY | frame_0347
489 | 7 | HOME | frame_0354
499 | 22 | AWAY | frame_0356
526 | 37 | AWAY | frame_0362
527 | 11 | AWAY | frame_0363
529 | 6 | AWAY | frame_0363
531 | 7 | AWAY | frame_0364
532 | 9 | AWAY | frame_0365
533 | 8 | HOME | frame_0365
540 | 1 | AWAY | frame_0371
548 | 9 | AWAY | frame_0375
598 | 8 | HOME | frame_0389
669 | 05 | AWAY | frame_0401
703 | 92 | HOME | frame_0407
731 | 23 | AWAY | frame_0411
745 | 5 | AWAY | frame_0413
769 | 28 | AWAY | frame_0416
781 | 4 | AWAY | frame_0417
790 | 23 | AWAY | frame_0418
798 | 14 | HOME | frame_0419
800 | 20 | AWAY | frame_0419
838 | 13 | AWAY | frame_0425
844 | 2 | HOME | frame_0426
856 | 26 | AWAY | frame_0427
859 | 1 | AWAY | frame_0427
866 | 19 | AWAY | frame_0428
869 | 29 | HOME | frame_0428
888 | 16 | HOME | frame_0431
937 | 9 | HOME | frame_0438
939 | 4 | AWAY | frame_0439
950 | 9 | HOME | frame_0441
951 | 16 | AWAY | frame_0441
955 | 22 | AWAY | frame_0443
956 | 28 | HOME | frame_0443
976 | 28 | AWAY | frame_0446
988 | 12 | AWAY | frame_0449
1012 | 2 | AWAY | frame_0453
1028 | 23 | HOME | frame_0457
1056 | 6 | AWAY | frame_0462
1071 | 12 | AWAY | frame_0465
1080 | 9 | AWAY | frame_0466
1088 | 14 | HOME | frame_0468
1095 | 1 | HOME | frame_0471
1096 | 13 | AWAY | frame_0471
1108 | 8 | AWAY | frame_0476
1119 | 86 | HOME | frame_0481
1123 | 11 | HOME | frame_0482
1125 | 71 | AWAY | frame_0482
1140 | 78 | AWAY | frame_0486
1144 | 86 | AWAY | frame_0486
1155 | 7 | AWAY | frame_0488
1156 | 17 | AWAY | frame_0489
1157 | 16 | AWAY | frame_0489
1159 | 12 | HOME | frame_0489
1161 | 2 | AWAY | frame_0489
1168 | 10 | AWAY | frame_0491
1169 | 5 | AWAY | frame_0491
1174 | 74 | AWAY | frame_0493
1176 | 17 | AWAY | frame_0494
1182 | 19 | AWAY | frame_0498
1185 | 29 | AWAY | frame_0499
1187 | 19 | AWAY | frame_0499
1191 | 1 | AWAY | frame_0501
1198 | 1 | AWAY | frame_0508
1207 | 9 | AWAY | frame_0514
1208 | 1 | AWAY | frame_0514
1227 | 12 | AWAY | frame_0517
1236 | 5 | AWAY | frame_0519
1248 | 4 | HOME | frame_0521
1256 | 19 | AWAY | frame_0522
1264 | 14 | HOME | frame_0523
1267 | 29 | AWAY | frame_0523
1268 | 7 | AWAY | frame_0523
1270 | 1 | AWAY | frame_0524
1275 | 1 | AWAY | frame_0525
1334 | 8 | HOME | frame_0533
1352 | 7 | AWAY | frame_0535
1357 | 28 | HOME | frame_0536
1380 | 9 | HOME | frame_0538
1384 | 9 | AWAY | frame_0539
1389 | 8 | HOME | frame_0539
1410 | 74 | AWAY | frame_0544
1419 | 7 | HOME | frame_0549
1453 | 13 | HOME | frame_0557
1463 | 3 | HOME | frame_0559
1481 | 01 | HOME | frame_0561
1483 | 8 | HOME | frame_0561
1485 | 50 | HOME | frame_0562
1498 | 91 | AWAY | frame_0564
1515 | 7 | HOME | frame_0572
1526 | 4 | HOME | frame_0575
1537 | 8 | HOME | frame_0577
1563 | 22 | HOME | frame_0588
1564 | 25 | HOME | frame_0589
1565 | 13 | AWAY | frame_0589
1581 | 9 | HOME | frame_0591
1597 | 13 | AWAY | frame_0593
1600 | 18 | AWAY | frame_0594
1620 | 1 | AWAY | frame_0596
1628 | 70 | HOME | frame_0597
1655 | 14 | AWAY | frame_0601
1666 | 5 | AWAY | frame_0602
1677 | 9 | HOME | frame_0603
1682 | 1 | AWAY | frame_0604
1716 | 29 | AWAY | frame_0609
1761 | 4 | HOME | frame_0616
1787 | 9 | AWAY | frame_0622
1799 | 1 | AWAY | frame_0623
1802 | 9 | AWAY | frame_0624
1805 | 23 | HOME | frame_0624
1817 | 4 | HOME | frame_0626
1820 | 2 | AWAY | frame_0626
1832 | 4 | AWAY | frame_0628
1834 | 16 | HOME | frame_0629
1836 | 19 | AWAY | frame_0629
1868 | 1 | AWAY | frame_0634
1881 | 2 | AWAY | frame_0636
1911 | 14 | HOME | frame_0641
1913 | 9 | AWAY | frame_0641
1914 | 1 | AWAY | frame_0641
1920 | 1 | AWAY | frame_0642
1924 | 28 | AWAY | frame_0643
1928 | 1 | AWAY | frame_0644
1929 | 51 | AWAY | frame_0644
1953 | 9 | AWAY | frame_0648
