전체팀 3번 선수 등장 구간
========================================
구간 1: 71.0s ~ 78.5s
구간 2: 81.5s ~ 87.5s
구간 3: 103.0s ~ 109.0s
구간 4: 156.5s ~ 162.5s
구간 5: 165.0s ~ 171.0s
구간 6: 188.5s ~ 194.5s
구간 7: 211.0s ~ 217.0s
구간 8: 246.5s ~ 256.0s
구간 9: 253.0s ~ 259.0s
구간 10: 276.5s ~ 282.5s
구간 11: 279.0s ~ 289.5s
구간 12: 291.5s ~ 298.5s
구간 13: 321.0s ~ 327.5s
구간 14: 331.5s ~ 339.5s
구간 15: 350.5s ~ 358.0s
구간 16: 375.5s ~ 381.5s
구간 17: 380.0s ~ 386.0s
구간 18: 387.5s ~ 393.5s
구간 19: 392.0s ~ 399.0s
구간 20: 396.5s ~ 404.0s
구간 21: 400.5s ~ 406.5s
구간 22: 405.0s ~ 411.5s
구간 23: 420.5s ~ 427.5s
구간 24: 437.0s ~ 443.0s
구간 25: 447.0s ~ 453.0s
구간 26: 487.0s ~ 495.0s
구간 27: 506.5s ~ 513.0s
구간 28: 523.5s ~ 536.5s
구간 29: 541.5s ~ 547.5s
구간 30: 552.5s ~ 559.5s
구간 31: 567.5s ~ 574.5s
구간 32: 573.5s ~ 580.5s
구간 33: 583.5s ~ 589.5s
구간 34: 598.5s ~ 606.0s
구간 35: 602.5s ~ 620.0s
구간 36: 626.5s ~ 633.0s
구간 37: 640.0s ~ 646.0s
구간 38: 648.0s ~ 656.0s
구간 39: 652.5s ~ 658.5s
구간 40: 661.5s ~ 667.5s
구간 41: 668.0s ~ 676.0s
구간 42: 685.5s ~ 692.0s
구간 43: 690.0s ~ 696.0s
구간 44: 692.5s ~ 702.5s
구간 45: 699.5s ~ 707.5s
구간 46: 718.0s ~ 724.5s
구간 47: 722.5s ~ 743.0s
구간 48: 741.0s ~ 750.0s
구간 49: 751.5s ~ 759.5s
구간 50: 827.5s ~ 842.0s
구간 51: 839.0s ~ 845.0s
구간 52: 846.0s ~ 852.0s
구간 53: 851.5s ~ 857.5s
구간 54: 854.0s ~ 860.0s
구간 55: 856.5s ~ 866.5s
구간 56: 865.0s ~ 872.0s
구간 57: 869.0s ~ 885.5s
구간 58: 884.0s ~ 900.0s
구간 59: 897.0s ~ 905.0s
구간 60: 904.5s ~ 912.5s
구간 61: 912.5s ~ 919.5s
구간 62: 987.5s ~ 993.5s
구간 63: 992.5s ~ 1000.5s
구간 64: 1034.5s ~ 1041.5s
구간 65: 1043.5s ~ 1056.0s
구간 66: 1053.5s ~ 1063.5s
구간 67: 1060.5s ~ 1077.5s
구간 68: 1076.5s ~ 1082.5s
구간 69: 1137.5s ~ 1143.5s
구간 70: 1145.0s ~ 1151.5s
구간 71: 1149.0s ~ 1155.0s
구간 72: 1193.0s ~ 1201.5s
구간 73: 1341.0s ~ 1347.5s
구간 74: 1346.5s ~ 1352.5s
구간 75: 1352.5s ~ 1359.0s
구간 76: 1357.0s ~ 1364.0s
구간 77: 1363.0s ~ 1369.0s
구간 78: 1371.0s ~ 1377.0s
구간 79: 1376.0s ~ 1394.0s
구간 80: 1432.5s ~ 1446.5s
구간 81: 1444.0s ~ 1457.0s
